,Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,Birth Year,S/P,Nationality,Draft Round,HOF,Age
3820,Corey Hirsch,19971998,VAN,L,1,0,0,0,0,--,34,29,5,0.853,6.05,49:37,0,0,0,0,0,1972,AB,CAN,8,N,25
2877,Corey Hirsch,19981999,VAN,L,20,12,3,8,3,--,435,387,48,0.89,3.13,919:24,1,0,0,0,0,1972,AB,CAN,8,N,26
3190,Corey Hirsch,20002001,WSH,L,1,0,1,0,0,--,8,8,0,1,0.0,20:00,0,0,0,0,0,1972,AB,CAN,8,N,28
3649,Corey Hirsch,20022003,DAL,L,2,1,0,1,0,--,39,35,4,0.897,2.46,97:24,0,0,0,0,0,1972,AB,CAN,8,N,30
3645,Corey Schwab,19951996,NJD,L,10,4,0,3,0,--,119,107,12,0.899,2.18,330:39,0,0,0,0,31,1970,SK,CAN,10,N,25
1815,Corey Schwab,19961997,TBL,L,31,23,11,12,1,--,719,645,74,0.897,3.04,1462:17,2,0,1,1,10,1970,SK,CAN,10,N,26
3059,Corey Schwab,19971998,TBL,L,16,13,2,9,1,--,370,330,40,0.892,2.92,820:40,1,0,0,0,2,1970,SK,CAN,10,N,27
2200,Corey Schwab,19981999,TBL,L,40,35,8,25,3,--,"1,153","1,027",126,0.891,3.52,2145:51,0,0,4,4,4,1970,SK,CAN,10,N,28
3139,Corey Schwab,19992000,VAN,L,6,4,2,1,1,--,115,99,16,0.861,3.57,268:33,0,0,0,0,2,1970,SK,CAN,10,N,29
1730,Corey Schwab,20012002,TOR,L,30,27,12,10,5,--,707,632,75,0.894,2.73,1645:51,1,0,0,0,2,1970,SK,CAN,10,N,31
2486,Corey Schwab,20022003,NJD,L,11,9,5,3,1,--,223,208,15,0.933,1.47,613:40,1,0,0,0,0,1970,SK,CAN,10,N,32
2968,Corey Schwab,20032004,NJD,L,3,3,2,0,1,--,68,66,2,0.971,0.64,187:02,1,0,1,1,2,1970,SK,CAN,10,N,33
2775,Corrado Micalef,19811982,DET,R,18,16,4,10,1,--,400,337,63,0.843,4.68,807:25,0,0,0,0,9,1961,QC,CAN,3,N,20
1863,Corrado Micalef,19821983,DET,R,34,30,11,13,5,--,761,655,106,0.861,3.63,1751:37,2,0,1,1,18,1961,QC,CAN,3,N,21
2613,Corrado Micalef,19831984,DET,R,14,13,5,8,1,--,357,305,52,0.854,3.89,801:40,0,0,1,1,2,1961,QC,CAN,3,N,22
2605,Corrado Micalef,19841985,DET,R,36,29,5,19,7,--,984,848,136,0.862,4.42,1847:25,0,0,3,3,6,1961,QC,CAN,3,N,23
3444,Corrado Micalef,19851986,DET,R,11,10,1,9,1,--,342,290,52,0.848,5.54,563:00,0,0,0,0,8,1961,QC,CAN,3,N,24
3522,Corrie D'alessio,19921993,HFD,L,1,0,0,0,0,--,3,3,0,1,0.0,11:00,0,0,0,0,0,1969,ON,CAN,6,N,23
3102,Cory Schneider,20082009,VAN,L,8,5,2,4,--,1,162,142,20,0.877,3.38,355:24,0,0,0,0,0,1986,MA,USA,1,N,22
3608,Cory Schneider,20092010,VAN,L,2,1,0,1,--,0,59,54,5,0.915,3.81,78:42,0,0,0,0,0,1986,MA,USA,1,N,23
1276,Cory Schneider,20102011,VAN,L,25,22,16,4,--,2,714,663,51,0.929,2.23,1371:47,1,0,3,3,0,1986,MA,USA,1,N,24
930,Cory Schneider,20112012,VAN,L,33,28,20,8,--,1,945,885,60,0.937,1.96,1832:50,3,0,2,2,0,1986,MA,USA,1,N,25
1191,Cory Schneider,20122013,VAN,L,30,30,17,9,--,4,835,774,61,0.927,2.11,1733:19,5,0,1,1,0,1986,MA,USA,1,N,26
1281,Cory Schneider,20132014,NJD,L,45,43,16,15,--,12,"1,107","1,019",88,0.921,1.97,2679:54,3,0,0,0,4,1986,MA,USA,1,N,27
522,Cory Schneider,20142015,NJD,L,69,68,26,31,--,9,"1,982","1,834",148,0.925,2.26,3923:55,5,0,2,2,0,1986,MA,USA,1,N,28
459,Cory Schneider,20152016,NJD,L,58,58,27,25,--,6,"1,597","1,475",122,0.924,2.15,3412:26,4,0,0,0,0,1986,MA,USA,1,N,29
953,Cory Schneider,20162017,NJD,L,60,59,20,27,--,11,"1,781","1,618",163,0.908,2.82,3472:50,2,0,0,0,0,1986,MA,USA,1,N,30
1219,Cory Schneider,20172018,NJD,L,40,40,17,16,--,6,"1,228","1,114",114,0.907,2.93,2332:15,1,0,0,0,0,1986,MA,USA,1,N,31
2397,Cory Schneider,20182019,NJD,L,26,23,6,13,--,4,718,648,70,0.903,3.06,1371:47,1,0,0,0,0,1986,MA,USA,1,N,32
2883,Cory Schneider,20192020,NJD,L,13,11,3,6,--,2,355,315,40,0.887,3.53,679:16,1,0,1,1,0,1986,MA,USA,1,N,33
3814,Craig Anderson,20022003,CHI,L,6,5,0,3,2,--,125,107,18,0.856,4.0,270:14,0,0,0,0,0,1981,IL,USA,3,N,21
2392,Craig Anderson,20032004,CHI,L,21,19,6,14,0,--,602,545,57,0.905,2.84,1205:13,1,0,0,0,4,1981,IL,USA,3,N,22
2432,Craig Anderson,20052006,"CHI,CHI",L,29,21,6,12,--,4,757,671,86,0.886,3.32,1553:28,1,0,1,1,14,1981,IL,USA,3,N,24
3222,Craig Anderson,20062007,FLA,L,5,3,1,1,--,1,116,108,8,0.931,2.21,216:53,0,0,0,0,0,1981,IL,USA,3,N,25
2127,Craig Anderson,20072008,FLA,L,17,13,8,6,--,1,535,500,35,0.935,2.25,934:56,2,0,1,1,2,1981,IL,USA,3,N,26
1374,Craig Anderson,20082009,FLA,L,31,27,15,7,--,5,977,903,74,0.924,2.71,1635:52,3,0,1,1,2,1981,IL,USA,3,N,27
80,Craig Anderson,20092010,COL,L,71,71,38,25,--,7,"2,233","2,047",186,0.917,2.63,4235:21,7,0,3,3,16,1981,IL,USA,3,N,28
653,Craig Anderson,20102011,"COL,OTT",L,51,49,24,20,--,4,"1,546","1,411",135,0.913,2.83,2865:07,2,0,1,1,4,1981,IL,USA,3,N,29
235,Craig Anderson,20112012,OTT,L,63,60,33,22,--,6,"1,917","1,752",165,0.914,2.83,3492:18,3,0,4,4,4,1981,IL,USA,3,N,30
1658,Craig Anderson,20122013,OTT,L,24,24,12,9,--,2,677,637,40,0.941,1.69,1420:36,3,0,0,0,0,1981,IL,USA,3,N,31
593,Craig Anderson,20132014,OTT,L,53,52,25,16,--,8,"1,680","1,530",150,0.911,3.0,2999:44,4,0,1,1,2,1981,IL,USA,3,N,32
1467,Craig Anderson,20142015,OTT,L,35,35,14,13,--,8,"1,134","1,047",87,0.923,2.49,2092:31,3,0,0,0,4,1981,IL,USA,3,N,33
301,Craig Anderson,20152016,OTT,L,60,60,31,23,--,5,"1,915","1,754",161,0.916,2.78,3477:08,4,0,2,2,0,1981,IL,USA,3,N,34
581,Craig Anderson,20162017,OTT,L,40,40,25,11,--,4,"1,247","1,155",92,0.926,2.28,2421:19,5,0,1,1,0,1981,IL,USA,3,N,35
734,Craig Anderson,20172018,OTT,L,58,55,23,25,--,6,"1,768","1,588",180,0.898,3.32,3250:32,2,0,0,0,2,1981,IL,USA,3,N,36
1225,Craig Anderson,20182019,OTT,L,50,47,17,27,--,4,"1,676","1,513",163,0.903,3.51,2785:11,2,0,2,2,0,1981,IL,USA,3,N,37
1806,Craig Anderson,20192020,OTT,L,34,31,11,17,--,2,"1,018",918,100,0.902,3.25,1845:11,0,0,1,1,0,1981,IL,USA,3,N,38
3005,Craig Anderson,20202021,WSH,L,4,2,2,1,--,0,71,65,6,0.915,2.13,168:44,0,0,0,0,0,1981,IL,USA,3,N,39
2776,Craig Billington,19851986,NJD,L,18,15,4,9,1,--,482,405,77,0.84,5.14,898:33,0,0,1,1,0,1966,ON,CAN,2,N,19
2773,Craig Billington,19861987,NJD,L,22,19,4,13,2,--,569,480,89,0.844,4.82,1108:45,0,0,0,0,12,1966,ON,CAN,2,N,20
3472,Craig Billington,19881989,NJD,L,3,2,1,1,0,--,65,54,11,0.831,4.73,139:38,0,0,0,0,0,1966,ON,CAN,2,N,22
1609,Craig Billington,19911992,NJD,L,26,23,13,7,1,--,637,568,69,0.892,3.04,1363:07,2,0,1,1,2,1966,ON,CAN,2,N,25
921,Craig Billington,19921993,NJD,L,42,40,21,16,4,--,"1,178","1,032",146,0.876,3.67,2389:17,2,0,1,1,8,1966,ON,CAN,2,N,26
1865,Craig Billington,19931994,OTT,L,63,56,11,41,4,--,"1,801","1,547",254,0.859,4.59,3318:52,0,0,0,0,8,1966,ON,CAN,2,N,27
2600,Craig Billington,19941995,"OTT,BOS",L,17,13,5,7,2,--,380,329,51,0.866,3.62,845:41,0,0,0,0,4,1966,ON,CAN,2,N,28
1979,Craig Billington,19951996,BOS,L,27,24,10,13,3,--,594,515,79,0.867,3.44,1379:42,1,0,0,0,2,1966,ON,CAN,2,N,29
1791,Craig Billington,19961997,COL,L,23,19,11,8,2,--,584,531,53,0.909,2.65,1200:22,1,0,2,2,2,1966,ON,CAN,2,N,30
2130,Craig Billington,19971998,COL,L,23,19,8,7,4,--,588,543,45,0.923,2.32,1161:54,1,0,0,0,2,1966,ON,CAN,2,N,31
1820,Craig Billington,19981999,COL,L,21,18,11,8,1,--,492,440,52,0.894,2.87,1085:33,0,0,0,0,2,1966,ON,CAN,2,N,32
2821,Craig Billington,19992000,WSH,L,13,10,3,6,1,--,310,282,28,0.91,2.75,611:21,2,0,0,0,0,1966,ON,CAN,2,N,33
2810,Craig Billington,20002001,WSH,L,12,10,3,5,2,--,317,290,27,0.915,2.45,660:14,0,0,1,1,0,1966,ON,CAN,2,N,34
2733,Craig Billington,20012002,WSH,L,17,10,4,5,3,--,295,259,36,0.878,3.04,710:22,0,0,0,0,0,1966,ON,CAN,2,N,35
3481,Craig Billington,20022003,WSH,L,5,5,1,3,1,--,96,79,17,0.823,4.7,217:14,0,0,0,0,0,1966,ON,CAN,2,N,36
2649,Cristobal Huet,20022003,LAK,L,12,8,4,4,1,--,241,220,21,0.913,2.33,541:05,1,0,0,0,0,1975,--,FRA,7,N,27
1895,Cristobal Huet,20032004,LAK,L,41,33,10,16,10,--,961,872,89,0.907,2.43,2199:16,3,0,0,0,4,1975,--,FRA,7,N,28
1104,Cristobal Huet,20052006,MTL,L,36,33,18,11,--,4,"1,085","1,008",77,0.929,2.2,2102:59,7,0,0,0,0,1975,--,FRA,7,N,30
1030,Cristobal Huet,20062007,MTL,L,42,39,19,16,--,3,"1,280","1,173",107,0.916,2.81,2286:15,2,0,1,1,0,1975,--,FRA,7,N,31
262,Cristobal Huet,20072008,"MTL,WSH",L,52,51,32,14,--,6,"1,479","1,361",118,0.92,2.32,3048:53,4,0,2,2,0,1975,--,FRA,7,N,32
950,Cristobal Huet,20082009,CHI,L,41,40,20,15,--,4,"1,087",988,99,0.909,2.53,2350:58,3,0,0,0,2,1975,--,FRA,7,N,33
566,Cristobal Huet,20092010,CHI,L,48,46,26,14,--,4,"1,083",969,114,0.895,2.5,2731:55,4,0,0,0,4,1975,--,FRA,7,N,34
3299,Cristopher Nilstorp,20122013,DAL,R,5,5,1,3,--,1,146,131,15,0.897,3.09,291:18,0,0,0,0,0,1984,--,SWE,--,N,28
3920,Cristopher Nilstorp,20132014,DAL,R,1,0,0,0,--,0,17,14,3,0.824,4.56,39:29,0,0,0,0,0,1984,--,SWE,--,N,29
3469,Curt Ridley,19741975,NYR,L,2,2,1,1,0,--,42,35,7,0.833,5.19,81:00,0,0,0,0,0,1951,MB,CAN,2,N,23
2371,Curt Ridley,19751976,VAN,L,9,8,6,0,2,--,227,208,19,0.916,2.28,499:42,1,0,0,0,0,1951,MB,CAN,2,N,24
2237,Curt Ridley,19761977,VAN,L,37,35,8,21,4,--,"1,037",903,134,0.871,3.88,2070:26,0,0,0,0,4,1951,MB,CAN,2,N,25
2113,Curt Ridley,19771978,VAN,L,40,36,9,17,8,--,"1,031",895,136,0.868,4.07,2006:32,0,0,1,1,9,1951,MB,CAN,2,N,26
3123,Curt Ridley,19791980,"VAN,TOR",L,13,11,2,7,2,--,362,315,47,0.87,4.0,704:12,0,0,0,0,2,1951,MB,CAN,2,N,28
3467,Curt Ridley,19801981,TOR,L,3,2,1,1,0,--,73,61,12,0.836,5.8,124:02,0,0,0,0,2,1951,MB,CAN,2,N,29
2073,Curtis Joseph,19891990,STL,L,15,14,9,5,1,--,435,387,48,0.89,3.38,851:41,0,0,1,1,0,1967,ON,CAN,--,N,22
1328,Curtis Joseph,19901991,STL,L,30,29,16,10,2,--,874,785,89,0.898,3.12,1710:24,0,0,1,1,0,1967,ON,CAN,--,N,23
482,Curtis Joseph,19911992,STL,L,60,58,27,20,10,--,"1,953","1,778",175,0.91,3.01,3493:32,2,0,9,9,12,1967,ON,CAN,--,N,24
390,Curtis Joseph,19921993,STL,L,68,67,29,28,9,--,"2,202","2,006",196,0.911,3.02,3890:10,1,0,2,2,8,1967,ON,CAN,--,N,25
137,Curtis Joseph,19931994,STL,L,71,71,36,23,11,--,"2,382","2,169",213,0.911,3.1,4126:39,1,0,3,3,4,1967,ON,CAN,--,N,26
967,Curtis Joseph,19941995,STL,L,36,36,20,10,1,--,904,815,89,0.902,2.79,1913:48,1,0,1,1,0,1967,ON,CAN,--,N,27
1442,Curtis Joseph,19951996,EDM,L,34,34,15,16,2,--,971,860,111,0.886,3.44,1935:39,0,0,1,1,4,1967,ON,CAN,--,N,28
276,Curtis Joseph,19961997,EDM,L,72,72,32,29,9,--,"2,144","1,944",200,0.907,2.93,4100:21,6,0,2,2,20,1967,ON,CAN,--,N,29
399,Curtis Joseph,19971998,EDM,L,71,71,29,31,9,--,"1,901","1,720",181,0.905,2.63,4132:20,8,0,2,2,4,1967,ON,CAN,--,N,30
171,Curtis Joseph,19981999,TOR,L,67,67,35,24,7,--,"1,903","1,732",171,0.91,2.56,4001:08,3,0,5,5,6,1967,ON,CAN,--,N,31
133,Curtis Joseph,19992000,TOR,L,63,63,36,20,7,--,"1,854","1,696",158,0.915,2.49,3801:05,4,0,1,1,14,1967,ON,CAN,--,N,32
234,Curtis Joseph,20002001,TOR,L,68,68,33,27,8,--,"1,907","1,744",163,0.915,2.39,4100:04,6,0,1,1,8,1967,ON,CAN,--,N,33
397,Curtis Joseph,20012002,TOR,L,51,51,29,17,5,--,"1,210","1,096",114,0.906,2.23,3064:55,4,0,1,1,10,1967,ON,CAN,--,N,34
195,Curtis Joseph,20022003,DET,L,61,60,34,19,6,--,"1,676","1,528",148,0.912,2.49,3566:27,5,0,0,0,4,1967,ON,CAN,--,N,35
1307,Curtis Joseph,20032004,DET,L,31,30,16,10,3,--,744,676,68,0.909,2.39,1707:58,2,0,0,0,2,1967,ON,CAN,--,N,36
277,Curtis Joseph,20052006,PHX,L,60,59,32,21,--,3,"1,690","1,524",166,0.902,2.91,3424:12,4,0,1,1,18,1967,ON,CAN,--,N,38
1161,Curtis Joseph,20062007,PHX,L,55,50,18,31,--,2,"1,481","1,322",159,0.893,3.19,2993:18,4,0,0,0,10,1967,ON,CAN,--,N,39
2831,Curtis Joseph,20072008,CGY,L,9,5,3,2,--,0,181,164,17,0.906,2.55,399:40,0,0,0,0,2,1967,ON,CAN,--,N,40
2596,Curtis Joseph,20082009,TOR,L,21,11,5,9,--,1,383,333,50,0.869,3.57,840:42,0,0,0,0,0,1967,ON,CAN,--,N,41
3631,Curtis McElhinney,20072008,CGY,L,5,1,0,2,--,0,51,46,5,0.902,2.0,149:55,0,0,0,0,0,1983,ON,CAN,6,N,24
3328,Curtis McElhinney,20082009,CGY,L,14,6,1,6,--,1,280,249,31,0.889,3.59,517:53,0,0,0,0,2,1983,ON,CAN,6,N,25
2165,Curtis McElhinney,20092010,"CGY,ANA",L,20,14,8,5,--,2,523,472,51,0.902,2.99,1023:52,0,0,0,0,0,1983,ON,CAN,6,N,26
2055,Curtis McElhinney,20102011,"ANA,OTT",L,28,22,9,13,--,1,721,647,74,0.897,3.18,1394:52,2,0,1,1,0,1983,ON,CAN,6,N,27
3212,Curtis McElhinney,20112012,PHX,L,2,1,1,0,--,0,36,34,2,0.944,1.67,71:46,0,0,0,0,0,1983,ON,CAN,6,N,28
1889,Curtis McElhinney,20132014,CBJ,L,28,21,10,11,--,1,703,639,64,0.909,2.7,1423:09,2,0,1,1,0,1983,ON,CAN,6,N,30
1681,Curtis McElhinney,20142015,CBJ,L,32,28,12,14,--,2,949,867,82,0.914,2.88,1710:01,0,0,0,0,0,1983,ON,CAN,6,N,31
3065,Curtis McElhinney,20152016,CBJ,L,18,12,2,7,--,3,417,371,46,0.89,3.3,835:26,0,0,1,1,0,1983,ON,CAN,6,N,32
2135,Curtis McElhinney,20162017,"CBJ,TOR",L,21,15,8,8,--,2,616,565,51,0.917,2.7,1134:39,1,0,0,0,0,1983,ON,CAN,6,N,33
1767,Curtis McElhinney,20172018,TOR,L,18,15,11,5,--,1,528,493,35,0.934,2.14,979:07,3,0,1,1,0,1983,ON,CAN,6,N,34
943,Curtis McElhinney,20182019,CAR,L,33,33,20,11,--,2,968,883,85,0.912,2.58,1977:31,2,0,0,0,0,1983,ON,CAN,6,N,35
2157,Curtis McElhinney,20192020,TBL,L,18,18,8,7,--,3,551,499,52,0.906,2.89,1080:56,1,0,0,0,0,1983,ON,CAN,6,N,36
2742,Curtis McElhinney,20202021,TBL,L,12,12,4,6,--,2,296,259,37,0.875,3.09,719:19,1,0,0,0,2,1983,ON,CAN,6,N,37
2505,Curtis Sanford,20022003,STL,L,8,7,5,1,0,--,148,135,13,0.912,1.96,397:09,1,0,0,0,0,1979,ON,CAN,--,N,23
1572,Curtis Sanford,20052006,STL,L,34,31,13,13,--,5,885,804,81,0.908,2.66,1830:25,3,0,0,0,0,1979,ON,CAN,--,N,26
2204,Curtis Sanford,20062007,STL,L,31,26,8,12,--,5,707,628,79,0.888,3.18,1491:38,0,0,0,0,0,1979,ON,CAN,--,N,27
2682,Curtis Sanford,20072008,VAN,L,16,9,4,3,--,1,313,281,32,0.898,2.83,679:02,0,0,1,1,2,1979,ON,CAN,--,N,28
2289,Curtis Sanford,20082009,VAN,L,19,15,7,8,--,0,448,406,42,0.906,2.59,972:35,1,0,0,0,2,1979,ON,CAN,--,N,29
1882,Curtis Sanford,20112012,CBJ,L,36,32,10,18,--,4,971,885,86,0.911,2.6,1982:55,1,0,0,0,0,1979,ON,CAN,--,N,32
3202,Damian Rhodes,19901991,TOR,L,1,1,1,0,0,--,26,25,1,0.962,1.0,60:00,0,0,0,0,0,1969,MN,USA,6,N,21
2041,Damian Rhodes,19931994,TOR,L,22,18,9,7,3,--,541,488,53,0.902,2.62,1213:27,0,0,0,0,2,1969,MN,USA,6,N,24
2372,Damian Rhodes,19941995,TOR,L,13,12,6,6,1,--,404,370,34,0.916,2.69,759:46,0,0,0,0,4,1969,MN,USA,6,N,25
1493,Damian Rhodes,19951996,"TOR,OTT",L,47,46,14,27,5,--,"1,342","1,215",127,0.905,2.77,2746:50,2,0,2,2,4,1969,MN,USA,6,N,26
1522,Damian Rhodes,19961997,OTT,L,50,49,14,20,14,--,"1,213","1,080",133,0.89,2.72,2934:03,1,0,2,2,2,1969,MN,USA,6,N,27
1052,Damian Rhodes,19971998,OTT,L,50,46,19,19,7,--,"1,148","1,041",107,0.907,2.34,2742:54,5,0,1,1,0,1969,MN,USA,6,N,28
794,Damian Rhodes,19981999,OTT,L,45,43,22,13,7,--,"1,060",959,101,0.905,2.44,2479:53,3,1,1,2,4,1969,MN,USA,6,N,29
2588,Damian Rhodes,19992000,ATL,L,28,28,5,19,3,--,803,702,101,0.874,3.88,1561:21,1,0,0,0,2,1969,MN,USA,6,N,30
2309,Damian Rhodes,20002001,ATL,L,38,35,7,19,7,--,"1,129","1,013",116,0.897,3.36,2071:58,0,0,0,0,16,1969,MN,USA,6,N,31
3053,Damian Rhodes,20012002,ATL,L,15,11,2,10,1,--,439,392,47,0.893,3.67,768:58,0,0,0,0,0,1969,MN,USA,6,N,32
1719,Dan Blackburn,20012002,NYR,L,31,28,12,16,0,--,935,840,95,0.898,3.28,1737:11,0,0,0,0,10,1983,QC,CAN,1,N,18
2201,Dan Blackburn,20022003,NYR,L,32,27,8,16,4,--,842,749,93,0.89,3.17,1762:28,1,0,0,0,2,1983,QC,CAN,1,N,19
2019,Dan Bouchard,19721973,AFM,L,34,33,9,15,10,--,"1,079",979,100,0.907,3.09,1940:05,2,0,1,1,12,1950,QC,CAN,2,N,22
1046,Dan Bouchard,19731974,AFM,L,46,43,19,18,8,--,"1,356","1,233",123,0.909,2.78,2655:40,5,0,0,0,10,1950,QC,CAN,2,N,23
941,Dan Bouchard,19741975,AFM,L,40,40,20,15,5,--,"1,289","1,178",111,0.914,2.78,2396:58,3,0,2,2,42,1950,QC,CAN,2,N,24
1042,Dan Bouchard,19751976,AFM,L,47,44,19,17,8,--,"1,268","1,155",113,0.911,2.54,2665:08,2,0,1,1,10,1950,QC,CAN,2,N,25
1264,Dan Bouchard,19761977,AFM,L,42,40,17,17,5,--,"1,131",992,139,0.877,3.51,2373:08,1,0,1,1,9,1950,QC,CAN,2,N,26
617,Dan Bouchard,19771978,AFM,L,58,58,25,12,19,--,"1,431","1,278",153,0.893,2.75,3337:16,2,0,3,3,6,1950,QC,CAN,2,N,27
282,Dan Bouchard,19781979,AFM,L,64,62,32,21,7,--,"1,810","1,609",201,0.889,3.33,3617:50,3,0,3,3,17,1950,QC,CAN,2,N,28
736,Dan Bouchard,19791980,AFM,L,53,51,23,19,10,--,"1,598","1,435",163,0.898,3.19,3064:32,2,0,1,1,34,1950,QC,CAN,2,N,29
746,Dan Bouchard,19801981,"CGY,QUE",L,43,42,23,10,8,--,"1,318","1,175",143,0.892,3.44,2495:13,2,0,4,4,12,1950,QC,CAN,2,N,30
515,Dan Bouchard,19811982,QUE,L,60,60,27,22,11,--,"1,723","1,493",230,0.867,3.87,3568:06,1,0,3,3,36,1950,QC,CAN,2,N,31
1003,Dan Bouchard,19821983,QUE,L,50,50,20,21,8,--,"1,578","1,381",197,0.875,4.01,2945:11,1,0,4,4,8,1950,QC,CAN,2,N,32
415,Dan Bouchard,19831984,QUE,L,57,57,29,18,8,--,"1,522","1,342",180,0.882,3.21,3368:06,1,0,3,3,19,1950,QC,CAN,2,N,33
1753,Dan Bouchard,19841985,QUE,L,30,30,12,14,4,--,854,751,103,0.879,3.45,1792:17,0,0,1,1,2,1950,QC,CAN,2,N,34
1861,Dan Bouchard,19851986,WIN,L,32,28,11,14,2,--,789,682,107,0.864,3.8,1690:13,2,0,1,1,38,1950,QC,CAN,2,N,35
2665,Dan Cloutier,19971998,NYR,L,12,9,4,5,1,--,248,225,23,0.907,2.5,551:13,0,0,0,0,19,1976,QC,CAN,1,N,21
2375,Dan Cloutier,19981999,NYR,L,22,16,6,8,3,--,570,521,49,0.914,2.68,1096:47,0,0,0,0,2,1976,QC,CAN,1,N,22
2079,Dan Cloutier,19992000,TBL,L,52,44,9,30,3,--,"1,258","1,113",145,0.885,3.49,2492:24,0,0,0,0,29,1976,QC,CAN,1,N,23
2318,Dan Cloutier,20002001,"TBL,VAN",L,40,29,7,19,8,--,889,793,96,0.892,3.0,1919:48,1,0,0,0,4,1976,QC,CAN,1,N,24
319,Dan Cloutier,20012002,VAN,L,62,61,31,22,5,--,"1,440","1,298",142,0.901,2.43,3501:33,7,0,0,0,20,1976,QC,CAN,1,N,25
239,Dan Cloutier,20022003,VAN,L,57,57,33,16,7,--,"1,477","1,341",136,0.908,2.42,3376:27,2,0,3,3,24,1976,QC,CAN,1,N,26
236,Dan Cloutier,20032004,VAN,L,60,60,33,21,6,--,"1,554","1,420",134,0.914,2.27,3539:06,5,0,1,1,22,1976,QC,CAN,1,N,27
2197,Dan Cloutier,20052006,VAN,L,13,13,8,3,--,1,334,298,36,0.892,3.17,680:53,0,0,0,0,4,1976,QC,CAN,1,N,29
2472,Dan Cloutier,20062007,LAK,L,24,23,6,14,--,2,608,523,85,0.86,3.98,1281:17,0,0,1,1,21,1976,QC,CAN,1,N,30
3069,Dan Cloutier,20072008,LAK,L,9,9,2,4,--,1,247,219,28,0.887,3.43,489:10,0,0,0,0,2,1976,QC,CAN,1,N,31
3316,Dan Ellis,20032004,DAL,L,1,1,1,0,0,--,28,25,3,0.893,3.0,60:00,0,0,0,0,0,1980,SK,CAN,2,N,23
692,Dan Ellis,20072008,NSH,L,44,37,23,10,--,3,"1,147","1,060",87,0.924,2.34,2228:33,6,0,0,0,0,1980,SK,CAN,2,N,27
1808,Dan Ellis,20082009,NSH,L,35,33,11,19,--,4,963,867,96,0.9,2.93,1964:43,3,0,0,0,2,1980,SK,CAN,2,N,28
1405,Dan Ellis,20092010,NSH,L,31,28,15,13,--,1,848,771,77,0.909,2.69,1714:39,1,0,1,1,4,1980,SK,CAN,2,N,29
900,Dan Ellis,20102011,"TBL,ANA",L,44,37,21,10,--,7,"1,089",978,111,0.898,2.77,2408:10,2,0,1,1,0,1980,SK,CAN,2,N,30
3260,Dan Ellis,20112012,ANA,L,10,5,1,5,--,0,214,195,19,0.911,2.72,418:42,0,0,1,1,0,1980,SK,CAN,2,N,31
2389,Dan Ellis,20122013,CAR,L,19,16,6,8,--,2,555,503,52,0.906,3.13,997:04,1,0,2,2,0,1980,SK,CAN,2,N,32
2580,Dan Ellis,20132014,"DAL,FLA",L,20,16,5,11,--,0,514,452,62,0.879,3.62,1027:19,1,0,1,1,0,1980,SK,CAN,2,N,33
2647,Dan Ellis,20142015,FLA,L,8,8,4,3,--,1,221,202,19,0.914,2.34,486:28,1,0,0,0,0,1980,SK,CAN,2,N,34
3654,Dan Olesevich,19611962,NYR,L,1,0,0,0,1,--,19,17,2,0.895,4.12,29:09,0,0,0,0,0,1937,ON,CAN,--,N,24
3071,Dan Vladar,20202021,BOS,L,5,5,2,2,--,1,149,132,17,0.886,3.4,300:04,0,0,0,0,0,1997,--,CZE,3,N,23
1168,Daniel Berthiaume,19861987,WIN,L,31,30,18,7,3,--,809,716,93,0.885,3.18,1755:27,1,0,0,0,2,1966,QC,CAN,3,N,20
833,Daniel Berthiaume,19871988,WIN,L,56,50,22,19,7,--,"1,489","1,313",176,0.882,3.52,3004:15,2,0,2,2,12,1966,QC,CAN,3,N,21
3911,Daniel Berthiaume,19881989,WIN,L,9,7,0,8,0,--,253,209,44,0.826,5.96,443:15,0,0,0,0,0,1966,QC,CAN,3,N,22
1855,Daniel Berthiaume,19891990,"WIN,MNS",L,29,28,11,14,3,--,769,669,100,0.87,3.69,1627:11,1,0,1,1,8,1966,QC,CAN,3,N,23
983,Daniel Berthiaume,19901991,LAK,L,37,37,20,11,4,--,"1,086",969,117,0.892,3.31,2119:16,1,0,0,0,10,1966,QC,CAN,3,N,24
2232,Daniel Berthiaume,19911992,"LAK,BOS",L,27,25,8,14,3,--,697,610,87,0.875,3.79,1378:11,0,0,0,0,0,1966,QC,CAN,3,N,25
3119,Daniel Berthiaume,19921993,OTT,L,25,18,2,17,1,--,739,644,95,0.871,4.3,1325:30,0,0,1,1,2,1966,QC,CAN,3,N,26
4065,Daniel Berthiaume,19931994,OTT,L,1,0,0,0,0,--,2,0,2,0,184.62,0:39,0,0,0,0,0,1966,QC,CAN,3,N,27
3541,Daniel Lacosta,20072008,CBJ,L,1,0,0,0,--,0,5,5,0,1,0.0,13:09,0,0,0,0,0,1986,NL,CAN,3,N,21
2976,Daniel Lacosta,20082009,CBJ,L,3,2,2,0,--,0,80,76,4,0.95,1.54,155:41,1,0,0,0,0,1986,NL,CAN,3,N,22
3782,Daniel Lorenz,19901991,NYI,L,2,1,0,1,0,--,36,31,5,0.861,3.75,80:00,0,0,0,0,0,1969,BC,CAN,3,N,21
